Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Difficulty
What is the capital of France?,Paris,London,Berlin,Madrid,1
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,2
What is the chemical symbol for water?,H2O,O2,CO2,NaCl,1
Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Venus,2
Who wrote 'Hamlet'?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,3
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,2
In what year did World War II end?,1945,1939,1918,1941,4
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Quartz,3
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,2
What is the currency of Japan?,Yen,Won,Yuan,Dollar,3
Which country is known as the Land of the Rising Sun?,Japan,China,South Korea,Thailand,2
What is the main ingredient in guacamole?,Avocado,Tomato,Onion,Pepper,1
How many continents are there?,Seven,Five,Six,Eight,1
What is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,3
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Albert Einstein,5
What is the capital of Australia?,Canberra,Sydney,Melbourne,Perth,4
What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,2
Which animal is known as the 'King of the Jungle'?,Lion,Tiger,Elephant,Gorilla,1
What is the freezing point of water in Celsius?,0°C,32°C,100°C,-10°C,2
"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,William Faulkner,5
What is the largest desert in the world?,Antarctic Desert,Sahara Desert,Arabian Desert,Gobi Desert,5
What is the primary language spoken in Brazil?,Portuguese,Spanish,English,French,3
What is the square root of 144?,12,11,13,10,2
Which artist cut off his own ear?,Vincent van Gogh,Pablo Picasso,Salvador Dalí,Claude Monet,4
What is the chemical symbol for Gold?,Au,Ag,Fe,Pb,4
How many sides does a hexagon have?,Six,Five,Seven,Eight,2
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,3
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,3
What is the smallest prime number?,2,1,3,0,3
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Raphael,Leonardo da Vinci,Donatello,4
What is the most populous country in the world?,India,China,United States,Indonesia,3
"In Greek mythology, who is the god of the sea?",Poseidon,Zeus,Hades,Apollo,3
What is the main component of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,4
What type of animal is a Komodo dragon?,Lizard,Snake,Crocodile,Dinosaur,4
What is the capital of Italy?,Rome,Venice,Milan,Florence,1
Who was the first person to step on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,2
What is the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,4
Which element has the atomic number 1?,Hydrogen,Helium,Oxygen,Lithium,2
What sport is played at Wimbledon?,Tennis,Golf,Cricket,Soccer,2
Who is the author of the Harry Potter series?,J.K. Rowling,Stephen King,George R.R. Martin,Suzanne Collins,2
What is the currency of the United Kingdom?,Pound Sterling,Euro,Dollar,Franc,2
What is the largest mammal in the world?,Blue Whale,African Elephant,Giraffe,Sperm Whale,3
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,2
Which of these is a programming language?,Python,Serpent,Cobra,Anaconda,3
What is the boiling point of water in Celsius?,100°C,0°C,50°C,212°C,2
What is the main gas found in the air we breathe?,Nitrogen,Oxygen,Carbon Dioxide,Argon,4
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,3
What is the capital of Egypt?,Cairo,Alexandria,Giza,Luxor,3
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Earth,4
Which country gifted the Statue of Liberty to the USA?,France,United Kingdom,Spain,Germany,3
What is the primary ingredient in traditional Japanese miso soup?,Soybeans,Seaweed,Tofu,Rice,4
How many players are on a standard soccer team on the field?,Eleven,Ten,Nine,Twelve,2
What is the name of the galaxy that contains our Solar System?,Milky Way,Andromeda,Triangulum,Whirlpool,2
"Who wrote ""Pride and Prejudice""?",Jane Austen,Charlotte Brontë,Emily Brontë,Mary Shelley,4
What is the chemical symbol for Sodium?,Na,S,So,Nd,5
In which city is the Eiffel Tower located?,Paris,Rome,London,Berlin,1
What is the fastest land animal?,Cheetah,Lion,Pronghorn,Wildebeest,3
Which nutrient is the main source of energy for the body?,Carbohydrates,Proteins,Fats,Vitamins,3
Who was the Roman god of war?,Mars,Jupiter,Apollo,Mercury,4
What is the capital of Germany?,Berlin,Munich,Hamburg,Frankfurt,2
What is the most spoken language in the world by number of native speakers?,Mandarin Chinese,Spanish,English,Hindi,5
What instrument does a violinist play?,Violin,Cello,Viola,Double Bass,1
How many strings does a standard guitar have?,Six,Four,Five,Seven,2
What is the process by which plants make their own food?,Photosynthesis,Respiration,Transpiration,Fermentation,3
What is the largest bone in the human body?,Femur,Tibia,Humerus,Pelvis,3
What is the capital of Russia?,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,3
"Who directed the movie ""Jurassic Park""?",Steven Spielberg,George Lucas,James Cameron,Christopher Nolan,3
What is the chemical symbol for Iron?,Fe,Ir,I,In,4
What unit is used to measure electrical resistance?,Ohm,Volt,Ampere,Watt,5
Which famous battle took place in 1066 in England?,Battle of Hastings,Battle of Stamford Bridge,Battle of Agincourt,Battle of Bosworth Field,6
